b	b	O	O
s	s	O	O
p	p	O	O
;	;	O	O
头	tou	O	O
部	bu	O	O
双	shuang	O	O
上	shang	O	O
肢	zhi	O	O
外	wai	O	O
伤	shang	O	O
后	hou	O	O
疼	teng	SB	SB
痛	tong	SE	SE
头	tou	SB	SB
晕	yun	SE	SE
3	3	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
-	-	O	O
1	1	O	O
0	0	O	O
-	-	O	O
-	-	O	O
1	1	O	O

1	1	O	O
4	4	O	O
：	：	O	O
5	5	O	O
0	0	O	O
收	shou	O	O
入	ru	O	O
院	yuan	O	O

男	nan	O	O
性	xing	O	O
，	，	O	O
7	7	O	O
1	1	O	O
岁	sui	O	O
，	，	O	O
汉	han	O	O
族	zu	O	O
，	，	O	O
河	he	O	O
北	bei	O	O
承	cheng	O	O
德	de	O	O
市	shi	O	O
双	shuang	O	O
滦	luan	O	O
区	qu	O	O
人	ren	O	O
，	，	O	O
现	xian	O	O
住	zhu	O	O
双	shuang	O	O
滦	luan	O	O
区	qu	O	O
双	shuang	O	O
塔	ta	O	O
山	shan	O	O
镇	zhen	O	O
百	bai	O	O
旺	wang	O	O
小	xiao	O	O
区	qu	O	O
，	，	O	O
主	zhu	O	O
因	yin	O	O
右	you	O	O
侧	ce	O	O
胸	xiong	O	O
部	bu	O	O
刀	dao	O	O
刺	ci	O	O
伤	shang	O	O
伴	ban	O	O
疼	teng	SB	SB
痛	tong	SE	SI
出	chu	SB	SI
血	xie	SE	SE
5	5	O	O
小	xiao	O	O
时	shi	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
年	nian	O	O
3	3	O	O
月	yue	O	O
9	9	O	O
日	ri	O	O
1	1	O	O
9	9	O	O
：	：	O	O
4	4	O	O
6	6	O	O
分	fen	O	O
入	ru	O	O
院	yuan	O	O
。	。	O	O

青	qing	O	O
年	nian	O	O
男	nan	O	O
性	xing	O	O
，	，	O	O
主	zhu	O	O
因	yin	O	O
：	：	O	O
外	wai	O	O
伤	shang	O	O
后	hou	O	O
头	tou	SB	O
痛	tong	SE	O
、	、	O	O
头	tou	SB	SB
晕	yun	SE	SE
伴	ban	O	O
周	zhou	O	O
身	shen	O	O
疼	teng	SB	SB
痛	tong	SE	SE
1	1	O	O
小	xiao	O	O
时	shi	O	O
。	。	O	O
于	yu	O	O
2	2	O	O
0	0	O	O
1	1	O	O
6	6	O	O
-	-	O	O
0	0	O	O
3	3	O	O
-	-	O	O
2	2	O	O
2	2	O	O
,	,	O	O
1	1	O	O
1	1	O	O
:	:	O	O
2	2	O	O
9	9	O	O
