b	b	B	O	O
s	s	I	O	O
p	p	E	O	O
;	;	S	O	O
头	tou	B	O	O
部	bu	E	O	O
双	shuang	S	O	O
上	shang	B	O	O
肢	zhi	E	O	O
外	wai	B	O	O
伤	shang	E	O	O
后	hou	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
头	tou	B	SB	SB
晕	yun	E	SE	SE
3	3	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
-	-	S	O	O
1	1	B	O	O
0	0	E	O	O
-	-	S	O	O
-	-	S	O	O
1	1	S	O	O

1	1	B	O	O
4	4	E	O	O
：	：	S	O	O
5	5	B	O	O
0	0	E	O	O
收	shou	B	O	O
入	ru	E	O	O
院	yuan	S	O	O

男	nan	B	O	O
性	xing	E	O	O
，	，	S	O	O
7	7	B	O	O
1	1	E	O	O
岁	sui	S	O	O
，	，	S	O	O
汉	han	B	O	O
族	zu	E	O	O
，	，	S	O	O
河	he	B	O	O
北	bei	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
双	shuang	B	O	O
滦	luan	I	O	O
区	qu	E	O	O
人	ren	S	O	O
，	，	S	O	O
现	xian	B	O	O
住	zhu	E	O	O
双	shuang	B	O	O
滦	luan	I	O	O
区	qu	E	O	O
双	shuang	B	O	O
塔	ta	E	O	O
山	shan	B	O	O
镇	zhen	E	O	O
百	bai	B	O	O
旺	wang	E	O	O
小	xiao	B	O	O
区	qu	E	O	O
，	，	S	O	O
主	zhu	B	O	O
因	yin	E	O	O
右	you	B	O	O
侧	ce	E	O	O
胸	xiong	B	O	O
部	bu	E	O	O
刀	dao	S	O	O
刺	ci	B	O	O
伤	shang	E	O	O
伴	ban	S	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SI
出	chu	B	SB	SI
血	xie	E	SE	SE
5	5	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
年	nian	S	O	O
3	3	S	O	O
月	yue	S	O	O
9	9	S	O	O
日	ri	S	O	O
1	1	B	O	O
9	9	E	O	O
：	：	S	O	O
4	4	B	O	O
6	6	E	O	O
分	fen	S	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

青	qing	B	O	O
年	nian	E	O	O
男	nan	B	O	O
性	xing	E	O	O
，	，	S	O	O
主	zhu	B	O	O
因	yin	E	O	O
：	：	S	O	O
外	wai	B	O	O
伤	shang	E	O	O
后	hou	S	O	O
头	tou	B	SB	O
痛	tong	E	SE	O
、	、	S	O	O
头	tou	B	SB	SB
晕	yun	E	SE	SE
伴	ban	S	O	O
周	zhou	B	O	O
身	shen	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
1	1	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
。	。	S	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
-	-	S	O	O
0	0	B	O	O
3	3	E	O	O
-	-	S	O	O
2	2	B	O	O
2	2	E	O	O
,	,	S	O	O
1	1	B	O	O
1	1	E	O	O
:	:	S	O	O
2	2	B	O	O
9	9	E	O	O
入	ru	B	O	O
院	yuan	E	O	O
。	。	S	O	O

，	，	S	O	O
女	nv	B	O	O
性	xing	E	O	O
，	，	S	O	O
4	4	B	O	O
8	8	E	O	O
岁	sui	S	O	O
，	，	S	O	O
现	xian	B	O	O
住	zhu	E	O	O
河	he	B	O	O
北	bei	I	O	O
省	sheng	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
双	shuang	B	O	O
滦	luan	I	O	O
区	qu	E	O	O
，	，	S	O	O
主	zhu	B	O	O
因	yin	E	O	O
打	da	B	O	O
伤	shang	E	O	O
后	hou	S	O	O
头	tou	B	SB	SB
痛	tong	E	SE	SE
头	tou	B	SB	SB
晕	yun	E	SE	SE
，	，	S	O	O
身	shen	B	O	O
体	ti	E	O	O
多	duo	B	O	O
处	chu	E	O	O
疼	teng	B	SB	SB
痛	tong	E	SE	SE
，	，	S	O	O
渗	shen	B	SB	SB
血	xie	E	SE	SE
2	2	S	O	O
小	xiao	B	O	O
时	shi	E	O	O
于	yu	S	O	O
2	2	B	O	O
0	0	I	O	O
1	1	I	O	O
6	6	E	O	O
年	nian	S	O	O
8	8	S	O	O
月	yue	S	O	O
2	2	B	O	O
5	5	E	O	O
日	ri	S	O	O
入	ru	B	O	O
院	yuan	E	O	O

，	，	S	O	O
青	qing	B	O	O
年	nian	E	O	O
男	nan	B	O	O
性	xing	E	O	O
，	，	S	O	O
2	2	B	O	O
5	5	E	O	O
岁	sui	S	O	O
，	，	S	O	O
河	he	B	O	O
北	bei	I	O	O
省	sheng	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
双	shuang	B	O	O
滦	luan	I	O	O
区	qu	E	O	O
人	ren	S	O	O
，	，	S	O	O
现	xian	B	O	O
住	zhu	E	O	O
河	he	B	O	O
北	bei	I	O	O
省	sheng	E	O	O
承	cheng	B	O	O
德	de	I	O	O
市	shi	E	O	O
双	shuang	B	O	O
滦	luan	I	O	O
区	qu	E	O	O
三	san	B	O	O
岔	cha	I	O	O
口	kou	E	O	O
御	yu	B	O	O
景	jing	E	O	O
家	jia	B	O	O
园	yuan	E	O	O
，	，	S	O	O
主	zhu	B	O	O
因	yin	E	O	O
外	wai	B	O	O
伤	shang	E	O	O
后	hou	S	O	O
头	tou	B	SB	SB
痛	tong	E	SE	SE
头	tou	B	SB	SB
晕	yun	E	SE	SE
伴	ban	S	O	O
出	chu	B	SB	SB
