b	eng	b	B	O	O
s	eng	s	I	O	O
p	eng	p	E	O	O
;	x	;	S	O	O
头	n	tou	B	O	O
部	n	bu	E	O	O
双	n	shuang	S	O	O
上	n	shang	B	O	O
肢	n	zhi	E	O	O
外	n	wai	B	O	O
伤	n	shang	E	O	O
后	f	hou	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
3	x	3	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
1	m	1	B	O	O
0	m	0	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
1	x	1	S	O	O

1	m	1	B	O	O
4	m	4	E	O	O
：	x	：	S	O	O
5	m	5	B	O	O
0	m	0	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O

男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
7	m	7	B	O	O
1	m	1	E	O	O
岁	m	sui	S	O	O
，	x	，	S	O	O
汉	nz	han	B	O	O
族	nz	zu	E	O	O
，	x	，	S	O	O
河	ns	he	B	O	O
北	ns	bei	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
双	nr	shuang	B	O	O
滦	nr	luan	I	O	O
区	nr	qu	E	O	O
人	n	ren	S	O	O
，	x	，	S	O	O
现	v	xian	B	O	O
住	v	zhu	E	O	O
双	nr	shuang	B	O	O
滦	nr	luan	I	O	O
区	nr	qu	E	O	O
双	n	shuang	B	O	O
塔	n	ta	E	O	O
山	ns	shan	B	O	O
镇	ns	zhen	E	O	O
百	m	bai	B	O	O
旺	a	wang	E	O	O
小	n	xiao	B	O	O
区	n	qu	E	O	O
，	x	，	S	O	O
主	n	zhu	B	O	O
因	n	yin	E	O	O
右	f	you	B	O	O
侧	f	ce	E	O	O
胸	n	xiong	B	O	O
部	n	bu	E	O	O
刀	n	dao	S	O	O
刺	v	ci	B	O	O
伤	v	shang	E	O	O
伴	v	ban	S	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
出	v	chu	B	SB	SB
血	v	xie	E	SE	SE
5	x	5	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
年	m	nian	S	O	O
3	m	3	S	O	O
月	m	yue	S	O	O
9	m	9	S	O	O
日	m	ri	S	O	O
1	m	1	B	O	O
9	m	9	E	O	O
：	x	：	S	O	O
4	m	4	B	O	O
6	m	6	E	O	O
分	v	fen	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

青	t	qing	B	O	O
年	t	nian	E	O	O
男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
主	n	zhu	B	O	O
因	n	yin	E	O	O
：	x	：	S	O	O
外	n	wai	B	O	O
伤	n	shang	E	O	O
后	f	hou	S	O	O
头	n	tou	B	SB	SB
痛	n	tong	E	SE	SE
、	x	、	S	O	O
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
伴	v	ban	S	O	O
周	n	zhou	B	O	O
身	n	shen	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
1	x	1	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
。	x	。	S	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
0	m	0	B	O	O
3	m	3	E	O	O
-	x	-	S	O	O
2	m	2	B	O	O
2	m	2	E	O	O
,	x	,	S	O	O
1	m	1	B	O	O
1	m	1	E	O	O
:	x	:	S	O	O
2	m	2	B	O	O
9	m	9	E	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O
。	x	。	S	O	O

，	x	，	S	O	O
女	n	nv	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
4	m	4	B	O	O
8	m	8	E	O	O
岁	m	sui	S	O	O
，	x	，	S	O	O
现	v	xian	B	O	O
住	v	zhu	E	O	O
河	ns	he	B	O	O
北	ns	bei	I	O	O
省	ns	sheng	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
双	nr	shuang	B	O	O
滦	nr	luan	I	O	O
区	nr	qu	E	O	O
，	x	，	S	O	O
主	n	zhu	B	O	O
因	n	yin	E	O	O
打	v	da	B	O	O
伤	v	shang	E	O	O
后	f	hou	S	O	O
头	n	tou	B	SB	O
痛	n	tong	E	SE	O
头	n	tou	B	SB	O
晕	n	yun	E	SE	O
，	x	，	S	O	O
身	n	shen	B	O	O
体	n	ti	E	O	O
多	m	duo	B	O	O
处	m	chu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
，	x	，	S	O	O
渗	v	shen	B	SB	SB
血	v	xie	E	SE	SE
2	m	2	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
年	m	nian	S	O	O
8	m	8	S	O	O
月	m	yue	S	O	O
2	m	2	B	O	O
5	m	5	E	O	O
日	m	ri	S	O	O
入	n	ru	B	O	O
院	n	yuan	E	O	O

，	x	，	S	O	O
青	t	qing	B	O	O
年	t	nian	E	O	O
男	n	nan	B	O	O
性	n	xing	E	O	O
，	x	，	S	O	O
2	m	2	B	O	O
5	m	5	E	O	O
岁	m	sui	S	O	O
，	x	，	S	O	O
河	ns	he	B	O	O
北	ns	bei	I	O	O
省	ns	sheng	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
双	nr	shuang	B	O	O
滦	nr	luan	I	O	O
区	nr	qu	E	O	O
人	n	ren	S	O	O
，	x	，	S	O	O
现	v	xian	B	O	O
住	v	zhu	E	O	O
河	ns	he	B	O	O
北	ns	bei	I	O	O
省	ns	sheng	E	O	O
承	ns	cheng	B	O	O
德	ns	de	I	O	O
市	ns	shi	E	O	O
双	nr	shuang	B	O	O
滦	nr	luan	I	O	O
区	nr	qu	E	O	O
三	ns	san	B	O	O
岔	ns	cha	I	O	O
口	ns	kou	E	O	O
御	n	yu	B	O	O
景	n	jing	E	O	O
家	n	jia	B	O	O
园	n	yuan	E	O	O
，	x	，	S	O	O
主	n	zhu	B	O	O
因	n	yin	E	O	O
外	n	wai	B	O	O
伤	n	shang	E	O	O
后	f	hou	S	O	O
头	n	tou	B	SB	SB
痛	n	tong	E	SE	SE
头	n	tou	B	SB	SB
晕	n	yun	E	SE	SE
伴	v	ban	S	O	O
出	v	chu	B	SB	SB
血	v	xie	E	SE	SE
3	x	3	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
7	m	7	E	O	O
-	x	-	S	O	O
0	m	0	B	O	O
1	m	1	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
3	m	3	E	O	O
日	m	ri	S	O	O
1	m	1	B	O	O
3	m	3	E	O	O
:	x	:	S	O	O
0	m	0	B	O	O
7	m	7	E	O	O
分	v	fen	S	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

右	f	you	B	O	O
侧	f	ce	E	O	O
腰	n	yao	B	O	O
部	n	bu	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
1	m	1	B	O	O
0	m	0	E	O	O
余	m	yu	B	O	O
天	m	tian	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
0	m	0	B	O	O
9	m	9	E	O	O
-	x	-	S	O	O
-	x	-	S	O	O
0	m	0	B	O	O
5	m	5	E	O	O

1	m	1	B	O	O
0	m	0	E	O	O
:	x	:	S	O	O
4	m	4	B	O	O
5	m	5	E	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

肿	n	zhong	B	SB	SB
物	n	wu	E	SE	SE
5	m	5	S	O	O
个	m	ge	S	O	O
月	m	yue	S	O	O
收	v	shou	B	O	O
入	v	ru	E	O	O
院	n	yuan	S	O	O
。	x	。	S	O	O

沟	n	gou	S	O	O
可	l	ke	B	O	O
复	l	fu	I	O	O
性	l	xing	E	O	O
肿	n	zhong	B	SB	SB
物	n	wu	E	SE	SE
1	m	1	S	O	O
个	m	ge	S	O	O
月	n	yue	B	O	O
余	n	yu	E	O	O
。	x	。	S	O	O

痛	a	tong	S	SS	O
、	x	、	S	O	O
头	n	tou	B	SB	O
晕	n	yun	E	SE	O
，	x	，	S	O	O
右	n	you	B	O	O
手	n	shou	E	O	O
中	j	zhong	B	O	O
指	j	zhi	E	O	O
疼	n	teng	B	SB	SB
痛	n	tong	E	SE	SE
不	a	bu	B	O	O
适	a	shi	E	O	O
2	x	2	S	O	O
小	n	xiao	B	O	O
时	n	shi	E	O	O
于	p	yu	S	O	O
2	m	2	B	O	O
0	m	0	I	O	O
1	m	1	I	O	O
6	m	6	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
1	m	1	E	O	O
-	x	-	S	O	O
1	m	1	B	O	O
6	m	6	E	O	O

1	m	1	B	O	O
2	m	2	E	O	O
